iter	Passed	Remaining
0	602	601585
1	896	447148
2	1509	501527
3	1877	467533
4	2205	438884
5	2585	428267
6	2938	416916
7	3313	410882
8	3627	399432
9	3959	391979
10	4281	384918
11	4514	371676
12	4787	363464
13	5068	356948
14	5309	348629
15	5542	340870
16	5817	336365
17	6089	332201
18	6339	327328
19	6622	324519
20	6854	319539
21	7093	315340
22	7314	310710
23	7566	307705
24	7810	304617
25	8060	301953
26	8283	298526
27	8559	297137
28	8785	294165
29	9104	294379
30	9379	293191
31	9618	290945
32	9893	289906
33	10155	288539
34	10582	291772
35	10847	290464
36	11107	289093
37	11477	290552
38	11722	288855
39	12005	288122
40	12330	288411
41	12590	287186
42	12877	286589
43	13113	284923
44	13349	283297
45	13621	282505
46	13856	280966
47	14087	279406
48	14312	277770
49	14642	278202
50	14871	276728
51	15125	275742
52	15351	274301
53	15593	273173
54	15814	271726
55	16037	270352
56	16266	269105
57	16497	267948
58	16817	268229
59	17058	267251
60	17323	266668
61	17575	265897
62	17835	265269
63	18215	266400
64	18512	266301
65	18924	267809
66	19287	268586
67	19633	269096
68	20072	270835
69	20452	271732
70	20814	272342
71	21190	273118
72	21439	272254
73	21758	272275
74	22051	271969
75	22378	272076
76	22716	272304
77	23010	271991
78	23288	271502
79	23564	270990
80	23858	270690
81	24122	270052
82	24392	269487
83	24696	269307
84	24982	268931
85	25260	268466
86	25524	267860
87	25832	267719
88	26101	267170
89	26395	266888
90	26670	266408
91	27019	266675
92	27264	265902
93	27540	265444
94	27812	264951
95	28120	264797
96	28438	264739
97	28724	264384
98	29026	264173
99	29297	263674
100	29600	263471
101	29931	263510
102	30197	262981
103	30484	262637
104	30736	261990
105	31025	261671
106	31306	261279
107	31584	260862
108	31855	260400
109	32134	259998
110	32434	259767
111	32701	259279
112	33006	259085
113	33273	258602
114	33523	257988
115	33789	257500
116	34081	257216
117	34332	256624
118	34628	256367
119	34909	256003
120	35192	255651
121	35464	255230
122	35733	254780
123	36003	254344
124	36314	254201
125	36586	253785
126	36860	253381
127	37231	253637
128	37550	253537
129	37843	253259
130	38138	252991
131	38412	252589
132	38703	252300
133	38974	251879
134	39268	251612
135	39539	251191
136	39819	250834
137	40097	250461
138	40364	250027
139	40624	249548
140	40899	249169
141	41160	248700
142	41427	248274
143	41690	247828
144	41943	247321
145	42318	247536
146	42593	247159
147	43003	247561
148	43264	247102
149	43578	246945
150	43836	246469
151	44135	246229
152	44433	245981
153	44684	245472
154	45009	245374
155	45274	244947
156	45594	244813
157	45881	244508
158	46346	245141
159	46677	245055
160	46999	244920
161	47367	245024
162	47672	244797
163	48004	244706
164	48360	244732
165	48774	245049
166	49119	245009
167	49446	244877
168	49777	244763
169	50061	244416
170	50341	244051
171	50617	243672
172	50908	243358
173	51240	243246
174	51571	243124
175	51962	243278
176	52348	243407
177	52683	243292
178	53076	243439
179	53394	243242
180	53746	243193
181	54065	242999
182	54411	242920
183	54772	242905
184	55064	242580
185	55358	242268
186	55742	242344
187	56040	242048
188	56317	241657
189	56621	241386
190	56912	241057
191	57216	240786
192	57562	240689
193	57840	240305
194	58119	239928
195	58396	239545
196	58686	239214
197	59007	239009
198	59308	238726
199	59617	238471
200	59861	237955
201	60143	237594
202	60398	237129
203	60708	236882
204	61067	236823
205	61369	236540
206	61696	236354
207	61958	235918
208	62248	235591
209	62514	235172
210	62800	234833
211	63074	234445
212	63340	234031
213	63664	233832
214	63921	233388
215	64202	233030
216	64476	232650
217	64766	232327
218	65028	231904
219	65316	231577
220	65569	231123
221	65871	230848
222	66099	230309
223	66381	229965
224	66640	229538
