iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
0	0.6839225996	0.6197796344	0.7155448525
1	0.6761296734	0.622200938	0.7226937301
2	0.6701306521	0.6222771207	0.7226902898
3	0.6648369425	0.6236234451	0.7266637998
4	0.6608576568	0.6236518774	0.7270731917
5	0.6579433945	0.6236931885	0.727025028
6	0.6557615075	0.6236891267	0.7269665434
7	0.6533242016	0.6238555598	0.7258828589
8	0.6514452429	0.6242022955	0.7213829879
9	0.6496847117	0.6269783591	0.7222980993
10	0.6481236393	0.6293060444	0.7189644792
11	0.6469123413	0.6311075833	0.7113958889
12	0.6459834888	0.633301825	0.7017459362
13	0.6451808084	0.6335242311	0.7022172529
14	0.644382962	0.6342291939	0.7046254408
15	0.6436204128	0.6345489832	0.7003010235
16	0.6430751001	0.6352693015	0.6998744302
17	0.6426300303	0.6355657108	0.6995751269
18	0.6421124936	0.6356414974	0.6967885095
19	0.6417304674	0.6362466996	0.6930007741
20	0.6414302202	0.6361449575	0.6919136493
21	0.6411647949	0.6362465015	0.6909297325
22	0.6408181846	0.6365759002	0.6916556291
23	0.6406418121	0.6368203983	0.6901315903
24	0.6403593204	0.6367733413	0.6918138815
25	0.640056593	0.6371515803	0.6896568332
26	0.6398275915	0.6374533393	0.6898322869
27	0.6396022725	0.6377389503	0.6886350735
28	0.6394626318	0.6379515487	0.6893231272
29	0.6392923784	0.6380271371	0.6879986239
30	0.6391699831	0.6383557434	0.6853324159
31	0.6390040998	0.6382601435	0.684307216
32	0.6388982372	0.6382897646	0.6838255784
33	0.6388105183	0.6382138791	0.6817717382
34	0.6387107195	0.6385972695	0.681551561
35	0.6386123237	0.638593505	0.679435796
36	0.6385285605	0.6388871405	0.680037843
37	0.6384157226	0.6391185616	0.6812488174
38	0.6383630729	0.6391789927	0.6810252
39	0.6383172466	0.6391621513	0.6797419799
40	0.6382153109	0.6392218889	0.6798795906
41	0.6381324728	0.6392791497	0.6802201772
42	0.6380498005	0.6391835498	0.6808256644
43	0.6379970285	0.6392145579	0.6807086953
44	0.6379108809	0.6393822788	0.6805848456
45	0.6378376644	0.6395127504	0.6805676443
46	0.6377935202	0.6394299302	0.6804953986
47	0.6377523767	0.6395138401	0.6810871248
48	0.6377173306	0.6395714973	0.6806777329
49	0.6376967837	0.6395825928	0.6814208308
50	0.637675224	0.6395403902	0.6805745248
51	0.6376546929	0.6395582223	0.6802545799
52	0.637624652	0.6395354368	0.6801651329
53	0.637605195	0.6396111242	0.6801479315
54	0.6375884886	0.6395992362	0.680089447
55	0.6375459663	0.6398393753	0.6802924228
56	0.6374992785	0.639937551	0.6805194805
57	0.637467565	0.6398645384	0.6805022792
58	0.6374368956	0.6398595851	0.6787339813
59	0.6374231148	0.6399186292	0.6786892578
60	0.6373807054	0.6400385997	0.6784346779
61	0.6373551053	0.6400761462	0.6784449987
62	0.6373551053	0.6400761462	0.6784449987
63	0.6372961314	0.6400321603	0.6785275652
64	0.6372803937	0.6400297827	0.678678937
65	0.6372787474	0.6400151207	0.6787064591
66	0.6372400031	0.6400110589	0.6786479745
67	0.6372005504	0.6399201152	0.677371635
68	0.6371865176	0.6399470615	0.6777397437
69	0.6371814273	0.6400017467	0.6775195665
70	0.6371417906	0.6403411511	0.6811868926
71	0.637116426	0.6400927895	0.6792878645
72	0.6370869748	0.6402590243	0.6802098564
73	0.6370722835	0.640258529	0.6801960953
74	0.6370562697	0.640270318	0.6805779651
75	0.6370207003	0.6402949858	0.680230498
76	0.6370097526	0.6403052888	0.6805710845
77	0.6370053857	0.6403104403	0.6806054872
78	0.636990756	0.6402886455	0.6805435624
79	0.636969255	0.6402558542	0.6799587168
80	0.6369282957	0.6403230218	0.6800309624
81	0.6369141507	0.6403131151	0.6800275221
82	0.6369011547	0.6403282724	0.6800137611
83	0.6368949174	0.640343925	0.6800137611
84	0.6368626888	0.6404032663	0.6809013503
85	0.6368405481	0.6404465587	0.6809082308
86	0.6368197934	0.6404909409	0.6808910295
87	0.6367921972	0.640485195	0.6808944698
88	0.6367645974	0.6404982718	0.6808772684
89	0.6367511269	0.6405419605	0.6809495141
90	0.6367075451	0.640632508	0.6816169261
91	0.6366862489	0.6406475663	0.6808394255
92	0.6366074751	0.6406377586	0.6807843812
93	0.6365765142	0.6406476653	0.6807878215
94	0.6365521043	0.6405905035	0.6809391933
95	0.6365392108	0.6406049673	0.6810148792
96	0.6365163675	0.6405875315	0.679769502
97	0.6364907663	0.6406335978	0.679962157
98	0.6364712208	0.6407139414	0.6805091597
99	0.6364592335	0.6407377175	0.6806261288
100	0.636435576	0.6407700134	0.680653651
101	0.636392879	0.6409160386	0.6806880537
102	0.636360639	0.6408559048	0.6796697342
103	0.6363383595	0.6408945411	0.6796559732
