iter	Passed	Remaining
0	99	99635
1	180	89890
2	273	90752
3	435	108419
4	533	106093
5	653	108187
6	725	102955
7	824	102261
8	902	99370
9	987	97720
10	1168	105037
11	1279	105316
12	1364	103626
13	1484	104547
14	1629	107010
15	1798	110584
16	1899	109844
17	1995	108860
18	2094	108161
19	2191	107383
20	2271	105873
21	2342	104128
22	2426	103059
23	2503	101793
24	2578	100557
25	2663	99790
26	2752	99200
27	2852	99006
28	2931	98151
29	3004	97143
30	3100	96913
31	3182	96272
32	3263	95628
33	3339	94882
34	3431	94609
35	3535	94662
36	3617	94165
37	3695	93561
38	3774	93006
39	3848	92371
40	3930	91924
41	4017	91635
42	4090	91042
43	4169	90586
44	4245	90108
45	4325	89706
46	4433	89893
47	4515	89560
48	4592	89139
49	4673	88792
50	4749	88380
51	4829	88041
52	4908	87698
53	4982	87278
54	5051	86791
55	5132	86520
56	5211	86224
57	5291	85933
58	5390	85973
59	5481	85877
60	5564	85657
61	5647	85445
62	5686	84582
63	5765	84319
64	5857	84256
65	5938	84033
66	6050	84256
67	6147	84260
68	6237	84164
69	6328	84075
70	6436	84222
71	6527	84130
72	6612	83963
73	6693	83757
74	6767	83470
75	6841	83175
76	6920	82958
77	6998	82720
78	7077	82511
79	7167	82429
80	7240	82142
81	7326	82024
82	7422	82010
83	7526	82077
84	7625	82089
85	7727	82125
86	7851	82390
87	7972	82628
88	8088	82795
89	8186	82775
90	8261	82524
91	8338	82302
92	8425	82172
93	8521	82131
94	8590	81840
95	8678	81719
96	8753	81490
97	8830	81278
98	8907	81069
99	9011	81104
100	9146	81411
101	9257	81498
102	9404	81903
103	9498	81829
104	9583	81691
105	9666	81526
106	9749	81366
107	9820	81111
108	9898	80909
109	9972	80683
110	10060	80575
111	10133	80344
112	10213	80173
113	10287	79953
114	10372	79821
115	10454	79672
116	10552	79638
117	10644	79565
118	10728	79429
119	10802	79217
120	10882	79053
121	10958	78866
122	11045	78754
123	11127	78606
124	11201	78408
125	11273	78199
126	11351	78032
127	11428	77855
128	11525	77820
129	11606	77673
130	11681	77487
131	11754	77292
132	11835	77154
133	11907	76954
134	11998	76880
135	12102	76884
136	12199	76846
137	12295	76801
138	12372	76640
139	12444	76447
140	12536	76376
141	12620	76258
142	12692	76068
143	12769	75908
144	12840	75712
145	12922	75588
146	12998	75425
147	13075	75274
148	13153	75126
149	13234	74996
150	13305	74807
151	13386	74685
152	13459	74513
153	13545	74410
154	13631	74312
155	13708	74164
156	13787	74029
157	13862	73874
158	13934	73706
159	14012	73567
160	14103	73495
161	14192	73415
162	14274	73296
163	14355	73177
164	14435	73051
165	14524	72971
166	14629	72970
167	14705	72825
168	14784	72698
169	14860	72553
170	14943	72443
171	15017	72291
172	15089	72132
173	15171	72019
174	15249	71890
175	15320	71729
176	15394	71578
177	15469	71435
178	15551	71330
179	15648	71285
180	15721	71137
181	15786	70950
182	15860	70806
183	15935	70671
184	16010	70534
185	16084	70390
186	16169	70296
187	16237	70133
188	16317	70020
189	16387	69860
190	16458	69712
191	16537	69595
192	16634	69556
193	16707	69413
194	16781	69279
195	16860	69163
196	16933	69022
197	17005	68878
198	17079	68746
199	17160	68641
200	17237	68522
201	17309	68382
202	17392	68285
203	17465	68151
204	17544	68037
205	17642	68002
206	17720	67884
207	17797	67767
208	17888	67701
209	17962	67571
210	18037	67449
211	18114	67332
212	18198	67240
213	18275	67122
214	18354	67016
215	18430	66895
216	18497	66743
217	18578	66643
218	18674	66598
219	18756	66501
220	18834	66390
221	18905	66253
222	18988	66161
223	19059	66027
224	19130	65893
225	19222	65831
226	19297	65711
227	19367	65576
228	19445	65468
229	19520	65351
230	19600	65250
231	19698	65208
232	19774	65095
233	19849	64977
234	19925	64863
235	19995	64731
236	20069	64613
237	20152	64523
238	20236	64433
239	20307	64307
240	20386	64204
241	20462	64094
242	20537	63979
243	20619	63887
244	20707	63813
245	20838	63871
246	20915	63763
247	20998	63673
248	21074	63562
249	21147	63442
250	21233	63363
251	21310	63256
252	21386	63146
253	21464	63041
254	21534	62913
255	21612	62810
256	21716	62783
257	21803	62706
258	21880	62601
259	21969	62528
260	22039	62402
261	22119	62305
262	22195	62198
263	22282	62121
264	22362	62024
265	22441	61926
266	22517	61816
267	22594	61712
268	22677	61625
269	22777	61584
270	22859	61492
271	22931	61374
272	23000	61249
273	23073	61136
274	23157	61052
275	23235	60951
276	23330	60894
277	23401	60777
278	23480	60680
279	23555	60571
280	23631	60467
281	23720	60395
282	23812	60331
283	23909	60279
284	24041	60315
285	24161	60319
286	24255	60257
287	24372	60254
288	24472	60208
289	24576	60169
290	24675	60118
291	24770	60059
292	24873	60018
293	24953	59922
294	25046	59857
295	25141	59796
296	25240	59744
297	25350	59718
298	25454	59676
299	25552	59622
300	25640	59544
301	25719	59443
302	25818	59391
303	25917	59337
304	26026	59305
305	26118	59236
306	26219	59187
307	26296	59081
308	26384	59003
309	26466	58909
310	26540	58799
311	26624	58711
312	26713	58632
313	26798	58547
314	26920	58540
315	27010	58466
316	27107	58405
317	27191	58315
318	27275	58226
319	27362	58144
320	27465	58095
321	27556	58023
322	27641	57935
323	27718	57831
324	27796	57730
325	27894	57671
326	27986	57598
